speaker_id	vowel_id	context	F1	F2	F3	F1_glide	F2_glide	F3_glide
finf4	O		623	1123				
finf4	o		535	1330				
finf4	E		807	2041				
finf4	e		680	1859				
finf4	A		948	1438				
finf4	a		767	1333				
finf4	E		908	1969				
finf4	a		869	1359				
finf4	i		318	2558				
finf4	E		611	1769				
finf4	o		569	1321				
finf4	i		481	2623				
finf4	E		724	1790				
finf4	o		720	1317				
finf4	I		450	2720				
finf4	a		830	1397				
finf4	I		485	2811				
finf4	o		562	1310				
finf4	E		857	1935				
finf4	o		528	1330				
finf4	i		312	2546				
finf4	E		792	1792				
finf4	o		536	1317				
finf4	O		436	1089				
finf4	a		787	1302				
finf4	a		762	1670				
finf4	I		334	2610				
finf4	a		922	1397				
finf4	A		901	1433				
finf4	i		433	2651				
finf4	e		718	1646				
finf4	a		950	1463				
finf4	i		480	2604				
finf4	A		953	1386				
finf4	o		531	1209				
finf4	E		842	1970				
finf4	o		518	1319				
finf4	E		777	1980				
finf4	a		745	1373				
finf4	A		924	1380				
finf4	e		680	2067				
finf4	i		395	2563				
finf4	E		705	1821				
finf4	o		530	1330				
finf4	i		334	2619				
finf4	E		695	1775				
finf4	o		727	1330				
finf4	a		710	1464				
finf4	A		839	1450				
finf4	e		693	1615				
finf4	I		463	2455				
finf4	a		766	1348				
finf4	E		421	2548				
finf4	e		762	1847				
finf4	E		424	2388				
finf4	a		637	1333				
finf4	A		927	1379				
finf4	o		660	1353				
finf4	o		441	1269				
finf4	A		959	1296				
finf4	o		734	1411				
finf4	A		938	1241				
finf4	o		720	1356				
finf4	O		561	1173				
finf4	o		652	1374				
finf4	a		663	1465				
finf4	O		466	1193				
finf4	e		744	1775				
finf4	A		920	1396				
finf4	o		580	1368				
finf4	a		788	1365				
finf4	O		599	1238				
finf4	o		463	1289				
