speaker_id	vowel_id	context	F1	F2	F3	F1_glide	F2__glide	F3_glide
finf6	O		713.0064561702	1037.099985324	3287.8487281067			
finf6	o		516.6046507166	1314.3474481542	2780.9377246896			
finf6	E		713.071398155	1917.5838904406	2950.5321385883			
finf6	e		508.4209498037	1892.3025447374	2895.9384902986			
finf6	A		922.1282496912	1393.7227902275	2604.1916260949			
finf6	a		852.7367430543	1491.2302568579	2914.1643696615			
finf6	E		796.0580168878	1838.8677309687	2905.5753867416			
finf6	a		792.4875326961	1417.084826163	2935.7983769308			
finf6	i		381.0507005711	2757.9184174295	3623.6675705021			
finf6	E		735.0618393197	1637.1928783393	2678.6002686369			
finf6	o		541.0982488295	1325.0863329173	2649.6168866432			
finf6	i		388.5609296446	2741.8808510935	3411.6107688191			
finf6	E		777.5161525916	1740.6010685705	2736.1157845361			
finf6	o		339.8163518806	1250.9572493239	2576.6100663097			
finf6	I		385.7985075961	2663.8827031875	3590.3935402846			
finf6	a		881.3567749876	1468.8340238428	3078.3958168685			
finf6	I		349.2752709693	2690.4987601286	3342.1349020063			
finf6	o		459.4076303569	1209.6235150073	2978.9624721812			
finf6	E		680.3651144824	1960.8900279452	2944.2437286566			
finf6	o		457.3377528326	1400.5186097152	2917.8920804185			
finf6	i		377.9702052142	2574.5199187217	3286.8906182699			
finf6	E		852.8538398049	1893.2112657879	3205.1572020049			
finf6	o		321.5815224541	1415.7711066769	2779.4063522388			
finf6	O		547.4418852537	1072.7666650168	2753.5056422578			
finf6	a		821.3586609053	1326.8666236979	2559.2282574682			
finf6	a		803.7118555372	948.4132282684	1431.0895493278			
finf6	I		346.9763957278	2596.3213123486	3188.2195176392			
finf6	a		853.3317313215	1441.4987850763	2617.583117072			
finf6	A		847.348376342	1179.8521110217	2788.156150988			
finf6	i		364.3706729051	1974.2965121375	2913.31415406			
finf6	e		576.5368556848	1793.1292081403	2814.2334699812			
finf6	a		1017.0282022315	1539.7342672716	3390.010861417			
finf6	A		933.6094957779	1248.8161376312	1625.7347112871			
finf6	i		352.8046667283	1603.4316495563	3052.2579601919			
finf6	i		348.8659187731	2847.0963254733	2897.5136546857			
finf6	A		946.0669675089	1318.7966179743	2520.3315163735			
finf6	o		433.0526628154	1090.3396820417	2776.2977971689			
finf6	E		717.1135678971	1882.8985871194	2878.1471114991			
finf6	o		474.6214910447	1230.1044094314	2793.7914702804			
finf6	E		603.6208471583	1767.49622907	2332.0422914784			
finf6	a		889.6029048921	1511.2100436409	2967.0926061249			
finf6	A		1002.2049448964	1350.5924765791	3174.5689326191			
finf6	e		458.0992210902	1927.376524129	2552.047225637			
finf6	i		391.9844154756	2917.2365300807	3350.5498599816			
finf6	E		854.6316153657	1734.4703098286	3104.7103656846			
finf6	o		354.0431333971	1235.0876516062	2714.4040205655			
finf6	i		388.5498715432	2844.8061459774	4218.913281246			
finf6	E		795.6223992394	1873.1331113539	2915.0417376232			
finf6	o		443.2342721256	1482.5313360569	2434.9016703377			
finf6	a		791.6464838704	1336.1973960925	2974.3041132591			
finf6	A		951.2830572463	1395.0978541952	2958.3161548561			
finf6	e		452.6274573035	1853.4040094048	2626.3082339481			
finf6	I		374.5945508157	2742.6969342468	3523.5412664866			
finf6	a		866.3564842079	1328.6082741099	3113.4900071313			
finf6	E		485.6274577825	2251.0276304204	2945.3742736721			
finf6	e		941.3446157182	1874.2217368752	3052.0325025518			
