speaker_id	vowel_id	context	F1	F2	F3	F1_glide	F2_glide	F3_glide
finf02	O		500.3006774015	898.1932152161	2672.7239126434			
finf02	o		553.6625800491	1110.0811009512	2753.0231094143			
finf02	e		561.7726839766	1706.1828483442	2696.093587333			
finf02	A		820.0562203903	1212.21891537	2403.1340206959			
finf02	a		690.640942266	1303.2916101865	2579.420166666			
finf02	E		860.9549859453	1766.7568186798	2873.2618975249			
finf02	a		714.3005551933	1250.3466468682	2404.9543241324			
finf02	i		347.6145761163	2347.5145836128	3338.8096945653			
finf02	E		651.551655636	1575.3782258877	2503.7537462875			
finf02	o		441.9024442338	1014.4334894423	2467.028838739			
finf02	i		349.9980353063	1428.9417282063	3074.541470795			
finf02	E		669.9949797905	1506.1388296182	2253.2967982185			
finf02	o		416.6039532267	1023.3557727605	2368.187405657			
finf02	I		314.1302255662	2388.6154781049	3432.52670726			
finf02	a		537.7050027564	1291.6803876791	2561.3343528786			
finf02	I		303.7945184571	2334.1958154172	3201.9334518925			
finf02	o		450.5425868491	1075.7691640572	2710.6314835278			
finf02	E		654.0029454732	1981.656891038	2556.1033939535			
finf02	o		394.602846403	1066.0619903379	2448.6515892307			
finf02	i		353.1334876064	2156.1285485221	3081.8968055465			
finf02	E		728.2839306029	1856.9070282726	2676.3757900949			
finf02	o		376.8737108585	1052.7672029814	2584.0091398549			
finf02	O		496.4358553448	777.512775544	1980.3827197793			
finf02	a		682.596473442	1217.5226265263	2371.1324710289			
finf02	I		311.7520806732	2259.572683417	2830.99423449			
finf02	a		384.1878754568	1299.6006613888	2052.4304272843			
finf02	A		1058.4925094409	1241.4895365993	2443.8297600939			
finf02	i		320.7882532712	2161.3564898875	2671.6159586384			
finf02	e		508.8484692749	1780.8452731056	2559.3379262847			
finf02	a		902.6639799554	1319.3791434541	2216.1294359469			
finf02	A		806.7816589813	1274.8196737152	2231.364877612			
finf02	i		340.8515173695	2231.7962701436	2734.0277208522			
finf02	i		387.6673430556	2313.4945328461	2505.0064270386			
finf02	A		754.9053245322	1202.9125584307	2470.5741760781			
finf02	o		500.0945456597	798.1623558134	2695.0793042183			
