speaker_id	vowel_id	context	F1	F2	F3	F1_glide	F2_glide	F3_glide
minf8	O		800	981				
minf8	o		506	1101				
minf8	E		629	1820				
minf8	e		466	1703				
minf8	A		721	1192				
minf8	a		687	1324				
minf8	E		599	1748				
minf8	a		547	1414				
minf8	i		332	1532				
minf8	E		616	1515				
minf8	o		470	1253				
minf8	i		266	1539				
minf8	E		581	1503				
minf8	o		436	1152				
minf8	I		247	2159				
minf8	a		605	1418				
minf8	I		258	2132				
minf8	o		472	1202				
minf8	E		602	1701				
minf8	o		431	1261				
minf8	i		249	1589				
minf8	E		644	1761				
minf8	o		460	1300				
minf8	O		411	1041				
minf8	a		647	1203				
minf8	I		272	2081				
minf8	a		586	1399				
minf8	A		866	1266				
minf8	i		333	1710				
minf8	e		470	1666				
minf8	a		880	1389				
minf8	A		867	1448				
minf8	i		278	1480				
minf8	i		325	2136				
minf8	A		638	1209				
minf8	o		507	941				
minf8	E		733	1727				
minf8	o		434	1257				
minf8	E		472	1605				
minf8	a		662	1318				
minf8	A		831	1346				
minf8	e		523	1635				
minf8	i		289	2003				
minf8	E		616	1727				
minf8	o		435	1382				
minf8	E		653	1697				
minf8	o		523	1247				
minf8	a		730	1338				
minf8	A		722	1341				
minf8	I		306	1978				
minf8	a		637	1287				
minf8	E		397	2084				
minf8	e		714	1795				
minf8	E		385	2199				
minf8	a		621	1449				
minf8	A		628	1242				
minf8	o		476	1109				
minf8	o		426	1119				
minf8	A		862	1285				
minf8	o		766	1353				
minf8	A		778	918				
minf8	O		621	1016				
minf8	o		484	1195				
minf8	A		787	1295				
minf8	e		524	1617				
minf8	A		681	1221				
minf8	o		528	1186				
minf8	a		652	1180				
minf8	O		637	966				
minf8	o		642	1017				
minf8	O		673	1033				
minf8	e		579	1700				
minf8	E		544	1658				
minf8	o		568	1017				
minf8	O		666	1358				
minf8	O		405	2003				
