speaker_id	vowel_id	context	F1	F2	F3	F1_glide	F2_glide	F3_glide
minf01	O		752.6602583622	867.3342958379	3060.0263845936			
minf01	o		625.51826801	872.5463372904	3151.1290120153			
minf01	E		694.3247795392	1979.8152761979	2515.6177844651			
minf01	e		543.6752522528	1765.9057975534	2504.6161069603			
minf01	A		881.5566713489	1254.432662662	2989.5672958215			
minf01	a		762.3763412431	1271.7428343308	2378.3263687295			
minf01	E		650.063252843	1908.9819702906	2683.4013362435			
minf01	a		659.8887190199	1358.4120670689	2444.8214593183			
minf01	i		297.146474394	2223.4622725927	2933.8685509292			
minf01	E		669.7295043098	1806.1647680842	2496.0828745291			
minf01	o		708.7338635944	1009.3966529048	2265.5297597919			
minf01	i		292.8496934903	2262.6833204182	2901.7577605629			
minf01	E		718.5600517493	1761.5261250738	2624.3655662854			
minf01	o		591.532682665	1010.4619962237	2288.7051208798			
minf01	I		263.1889859094	2199.5395819532	3123.2466287297			
minf01	a		788.3796720345	1311.1848331614	2536.4615856131			
minf01	I		253.0300748646	2193.3755538743	2988.2545549009			
minf01	o		539.1068716432	1024.0568441672	2693.0380075908			
minf01	E		607.3496481753	1879.8800304846	2448.9258201616			
minf01	o		541.9675327476	967.8291112199	2968.4258555584			
minf01	i		279.0197606037	2206.258896827	2978.6422618958			
minf01	o		558.1680300194	1032.5370031669	2685.9160285142			
minf01	O		608.8467027109	950.3094008898	2655.3813900173			
minf01	a		835.2102954906	1221.889820907	2934.193218833			
minf01	a		897.3376926529	1256.4133342117	3344.5914167199			
minf01	I		301.5983770736	2153.0142519621	3015.5840820176			
minf01	a		782.0918728849	1318.5091530483	2383.3540983763			
minf01	A		872.1266815189	1253.7465714442	2978.9237000031			
minf01	e		590.0944067896	1953.4495910607	2578.7471391733			
minf01	a		960.5195207795	1316.5979787294	3017.8787306115			
minf01	A		1004.4378456528	1347.5719912004	3264.968270088						
minf01	i		322.0993441924	2169.3870748782	2778.7638871304			
minf01	A		956.5459942036	1309.2392960886	2680.3294798788			
minf01	o		568.4807090915	915.9612623328	2950.9401177363			
minf01	E		646.0382465567	1763.33713145	2477.3922521501			
minf01	o		546.0505483741	1038.7821656427	2856.2765744534			
minf01	E		603.3689797916	1361.9364054965	2298.2993586612			
minf01	a		738.5263932692	1339.2995729933	2515.6568500272			
minf01	A		957.2883973783	1288.0120889348	2944.9753934644			
minf01	e		515.1264439687	2025.3074242392	2532.9887878301			
minf01	i		277.3224957398	2163.4035206855	3026.7464028786			
minf01	E		583.2092216975	1852.5018481362	2537.4228885132			
minf01	o		529.40567378	1017.8995825164	2552.9958307023			
minf01	i		282.39790316	2207.235098776	2914.8233098119			
minf01	E		608.4858010354	1763.5500397422	2349.6546663181			
minf01	j		338.561453243	2070.6509123035	2785.2701750417			
minf01	o		628.8020323697	1060.2826058896	2640.3767757463			
minf01	a		911.2738938468	1281.2528820702	3115.7934399845			
minf01	A		908.9833817112	1275.132325831	2817.3488888211			
minf01	e		520.3349523971	1937.9121039547	2589.5168658322			
minf01	I		294.4418645759	2200.7274681704	2988.8622839337			
minf01	a		905.3339384548	1290.6699725414	2509.342878651			
minf01	E		492.7384442102	2115.3839351757	2631.720657517			
minf01	e		729.0408150016	1824.1529236947	2334.7318217491			
minf01	E		458.4369998601	2034.3881369006	2628.85796348			
minf01	a		964.3159678152	1377.6733073702	2877.3025745113			
minf01	A		872.7522353235	1182.0347393709	2936.1421187738			
minf01	o		700.3502189729	786.8649252127	2739.6686600103			
minf01	o		534.4665551631	894.779984126	2823.3189299837			
minf01	A		960.7497346457	1288.9532661439	2787.292455486			
minf01	o		736.0696077848	977.9863111564	2532.0125990193			
minf01	o		600.5280886995	1004.7641046941	2523.7645775788			
minf01	A		981.1832119578	1324.516093046	3097.7071539627			
minf01	o		724.0138469526	1397.9702316086	3544.4768537615			
minf01	O		727.1837412626	1020.1228252503	2507.4675098026			
minf01	o		593.2716238556	975.8990746709	2620.1734286519			
minf01	a		918.7080935187	1294.5718429063	3122.2048635373			
minf01	O		652.4449151758	984.5351363729	2420.6677273619			
minf01	e		735.9069701155	1707.9008331013	2365.2166447475			
minf01	A		890.9264062019	1301.4406641658	2810.066142056			
minf01	o		573.4749044353	1127.1585316239	2676.1582574658			
minf01	a		748.5503599014	1208.7772204214	2917.0637439424			
minf01	O		716.6128669505	939.0157471582	2893.6707570802			
minf01	o		686.3749963807	996.0662149752	2604.5297752992						
minf01	o		651.7058846447	1011.539005209	2424.5397734405			
minf01	E		614.589370853	1874.5815560991	2451.2362065669			
minf01	o		552.122920567	996.6952701658	2888.458854753			
minf01	a		861.7791384947	1335.8285826921	2574.2327342515			
minf01	A		819.5677867537	1251.1799667498	2802.2918153446			
minf01	o		482.0481151531	948.7451186755	2901.5441339206			
minf01	U		426.9389367373	1195.4032267181	3256.9521929043			
minf01	o		540.6943214153	943.6788437114	2990.6509245657			
minf01	E		500.4667277637	2066.9932837881	2745.6687101875			
minf01	o		611.0177442716	1081.6867158779	2567.2863284383			
minf01	a		882.2665756408	1275.4021994544	2576.4239175844			
minf01	o		708.896178767	1176.1909706697	3060.002814227			
minf01	u		224.3155058079	1230.9546588347	2375.3486603543			
