speaker_id	vowel_id	context	F1	F2	F3	F1_glide	F2_glide	F3_glide	
minf2	O		586	1150				
minf2	o		506	1101				
minf2	E		546	1561				
minf2	e		516	1647				
minf2	A		659	1363				
minf2	a		641	1345				
minf2	E		559	1596				
minf2	a		614	1304				
minf2	i		397	1491				
minf2	E		569	1525				
minf2	o		547	1232				
minf2	i		320	1408				
minf2	E		568	1481				
minf2	o		538	1136				
minf2	I		289	2232				
minf2	a		576	1359				
minf2	I		338	2307				
minf2	o		489	1296				
minf2	E		515	1720				
minf2	o		454	1228				
minf2	i		427	2377				
minf2	E		569	1579				
minf2	o		486	1214				
minf2	O		435	1056				
minf2	a		611	1262				
minf2	a		545	1319				
minf2	I		270	2201				
minf2	a		622	1343				
minf2	A		671	1266				
minf2	e		516	1492				
minf2	a		675	1341				
minf2	A		711	1349				
minf2	i		459	1349				
minf2	A		679	1190				
minf2	o		497	1067				
minf2	E		544	1795				
minf2	o		475	1280				
minf2	E		553	1699				
minf2	a		592	1326				
minf2	A		680	1293				
minf2	e		530	1528				
minf2	i		386	2344				
minf2	E		538	1654				
minf2	o		438	1427				
minf2	i		420	2332				
minf2	E		529	1775				
minf2	o		493	1269				
minf2	a		618	1316				
minf2	A		690	1432				
minf2	e		554	1722				
minf2	I		427	2359				
minf2	a		609	1395				
minf2	E		412	2101				
minf2	e		502	1707				
minf2	E		417	2107				
minf2	a		633	1312				
minf2	A		582	1255				
minf2	o		554	1280				
minf2	o		581	1431				
minf2	o		576	1341				
minf2	o		450	1371				
minf2	A		632	1396				
minf2	o		541	1245				
minf2	O		569	1053				
minf2	o		511	1148				
minf2	a		582	1306				
minf2	O		455	1204				
minf2	e		510	1563				
minf2	A		638	1287				
minf2	o		509	1312				
minf2	a		622	1211				
minf2	O		516	1132				
minf3	O		792	954				
minf3	o		503	1095				
minf3	E		624	1827				
minf3	e		469	1611				
minf3	A		717	1196				
minf3	a		605	1298				
minf3	E		634	1769				
minf3	A		805	1380				
minf3	i		335	2583				
minf3	E		615	1518				
minf3	o		463	1254				
minf3	i		269	2574				
minf3	E		597	1515				
minf3	o		441	1156				
minf3	I		247	2150				
minf3	a		618	1414				
minf3	I		256	2126				
minf3	o		464	1166				
minf3	E		604	1703				
minf3	o		446	1281				
minf3	i		255	2213				
minf3	E		648	1762				
minf3	o		468	1355				
minf3	O		415	1009				
minf3	a		641	1204				
minf3	a		692	1415				
minf3	I		264	2089				
minf3	a		588	1401				
minf3	A		863	1270				
minf3	i		337	2325				
minf3	e		598	1432				
minf3	a		826	1404				
minf3	A		857	1440				
minf3	i		342	2150				
minf3	A		637	1204				
minf3	o		508	944				
minf3	E		733	1727				
minf3	o		413	1196				
minf3	A		813	1331				
minf3	e		515	1649				
minf3	E		593	1546				
minf3	a		648	1330				
minf3	i		288	1994				
minf3	E		641	1747				
minf3	o		437	1399				
minf3	E		655	1696				
minf3	o		518	1231				
minf3	a		719	1332				
minf3	A		729	1324				
minf3	e		417	1624				
minf3	I		308	2166				
minf3	a		558	1395				
minf3	E		397	2075				
minf3	e		694	1786				
minf3	E		470	2332				
minf3	a		621	1458				
minf3	A		639	1260				
minf3	o		475	1099				
minf3	o		425	1098				
minf3	A		877	1306				
minf3	o		758	1348				
minf3	A		751	907				
minf3	O		624	1016				
minf3	o		479	1204				
minf3	O		379	1128				
minf3	e		575	1681				
minf3	A		702	1250				
minf3	o		505	1174				
minf3	a		700	1221				
minf3	O		625	967				
minf4	O		717	1123				
minf4	o		524	1141				
minf4	E		808	1662				
minf4	e		583	1503				
minf4	A		804	1192				
minf4	a		743	1312				
minf4	E		787	1627				
minf4	a		688	1320				
minf4	E		717	1565				
minf4	o		391	1269				
minf4	E		742	1549				
minf4	o		360	1232				
minf4	I		345	2393				
minf4	a		726	1275				
minf4	I		330	2343				
minf4	o		504	1193				
minf4	E		608	1544				
minf4	o		510	1196				
minf4	i		305	1503				
minf4	E		845	1624				
minf4	o		503	1160				
minf4	O		400	1129				
minf4	a		675	1272				
minf4	a		688	1329				
minf4	I		354	2309				
minf4	a		730	1302				
minf4	A		838	1279				
minf4	e		545	1591				
minf4	a		884	1346				
minf4	A		941	1412				
minf4	i		459	1349				
minf4	i		368	2310				
minf4	A		876	1214				
minf4	o		498	1113				
minf4	E		772	1566				
minf4	o		502	1232				
minf4	E		908	1605				
minf4	a		749	1297				
minf4	A		1056	1213				
minf4	e		542	1680				
minf4	E		755	1491				
minf4	o		486	1262				
minf4	i		282	1990				
minf4	E		653	1371				
minf4	o		519	1344				
