,Si_F,No_F,A_volte_F,Totale_F,Si_M,No_M,A_volte_M,Totale_M,Si_A,No_A,A_volte_A,Totale_A
0,8,13,26,47,15,5,30,50,23,18,56,97
1,17,7,23,47,29,1,20,50,46,8,43,97
2,9,27,11,47,18,14,18,50,27,41,29,97
3,2,36,9,47,7,23,20,50,9,59,29,97
4,1,41,5,47,4,33,13,50,5,74,18,97
5,0,45,2,47,1,40,9,50,1,85,11,97
6,0,41,6,47,3,39,8,50,3,80,14,97
7,1,44,2,47,2,42,6,50,3,86,8,97
8,0,45,2,47,3,46,1,50,3,91,3,97
9,42,5,0,47,42,8,0,50,84,13,0,97
10,18,29,0,47,23,27,0,50,41,56,0,97
11,15,32,0,47,29,21,0,50,44,53,0,97
12,30,17,0,47,29,19,0,48,59,36,0,95
13,22,5,20,47,36,2,12,50,58,7,32,97
14,24,3,20,47,35,2,13,50,59,5,33,97
15,15,17,15,47,30,5,15,50,45,22,30,97
16,14,20,13,47,26,9,15,50,40,29,28,97
17,25,22,0,47,33,17,0,50,58,39,0,97
18,19,28,0,47,25,25,0,50,44,53,0,97
19,25,22,0,47,36,14,0,50,61,36,0,97
